"strain","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations"
"24700_1232",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"24701_2032",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
"24702_1448",1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24703_1435",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"24704_906",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24705_1386",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"24706_1299",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"24707_1393",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"24708_1185",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"24709_1701",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"24710_1220",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"24711_1775",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"24712_1212",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"24713_2124",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24714_1218",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"24716_1359BLF",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"24717_1252",1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24718_2006",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"24719_961",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24720_1254",1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24721_1014",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
