"","id","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations"
"1","24700_1232.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"2","24701_2032.fasta-ragtag.scaffold",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
"3","24702_1448.fasta-ragtag.scaffold",1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"4","24703_1435.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"5","24704_906.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"6","24705_1386.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"7","24706_1299.fasta-ragtag.scaffold",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"8","24707_1393.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"9","24708_1185.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"10","24709_1701.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"11","24710_1220.fasta-ragtag.scaffold",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"12","24711_1775.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"13","24712_1212.fasta-ragtag.scaffold",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"14","24713_2124.fasta-ragtag.scaffold",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
