strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	YbST	Yersiniabactin	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	spurious_ybt_hits	CbST	Colibactin	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	spurious_clb_hits	AbST	Aerobactin	iucA	iucB	iucC	iucD	iutA	spurious_abst_hits	SmST	Salmochelin	iroB	iroC	iroD	iroN	spurious_smst_hits	RmST	RmpADC	rmpA	rmpD	rmpC	spurious_rmst_hits	virulence_score	spurious_virulence_hits	rmpA2	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	resistance_score	num_resistance_classes	num_resistance_genes	wzi	K_locus	K_type	K_locus_confidence	K_locus_problems	K_locus_identity	K_Missing_expected_genes	O_locus	O_type	O_locus_confidence	O_locus_problems	O_locus_identity	O_Missing_expected_genes
24700_1232.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	27	5326125	5326125	5513868	yes (2800)	ambiguous_bases	ST14	1	6	1	1	1	1	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IId^;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA30*	TEM-103*	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	-	1	5	7	wzi2	KL2	K2	Typeable	-	99.81%	-	O1/O2v1	O1ab	Typeable	-	99.98%	-
24701_2032.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	69	5201169	5201169	5696974	yes (2200)	ambiguous_bases	ST2201	2	7	2	1	2	1	2	64-1LV	ybt 4; plasmid	23	27	30	18	13	220*	61	9	18	26	35	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	-	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	0	4	4	wzi356	KL117	unknown (KL117)	Typeable	-	99.77%	-	O1/O2v2	O2afg	Typeable	-	99.07%	-
24702_1448.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	60	5258290	5258290	5730223	yes (2900)	ambiguous_bases	ST48	2	5	2	2	7	1	10	193-1LV	ybt 9; ICEKp3	5	11	6	5	1	34	15*	9	5	5	25	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1	-	-	-	-	Mrx;mphA	-	-	sul1;sul2^	-	-	dfrA12	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	6	12	wzi62	KL62	K62	Typeable	!	99.82%	-	O1/O2v1	O1ab	Typeable	-	98.54%	-
24703_1435.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	93	5266739	5266739	5563254	yes (2600)	ambiguous_bases	ST76	4	1	1	1	21	1	35	13-1LV	ybt 22; ICEKp12	11	9	11	8	1	2	208	8	9	8	8	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IId^	-	-	-	-	-	-	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	-	-	-	-	-	1	5	5	wzi100	KL10	K10	Typeable	-	99.02%	-	O3/O3a	O3/O3a	Typeable	-	99.21%	-
24704_906.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	82	5243512	5243512	5498172	yes (3800)	ambiguous_bases	ST280	2	1	2	1	10	4	46	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IId^	-	-	-	-	-	catII.2*	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-27	156D	-	-	-	-	fosA7.5*?-0%	1	6	6	wzi82	KL23	K23	Typeable	-	100.00%	-	O1/O2v2	O2afg	Typeable	-	99.07%	-
24705_1386.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	61	5264824	5264824	5459943	yes (2300)	ambiguous_bases	ST76	4	1	1	1	21	1	35	13-1LV	ybt 22; ICEKp12	11	9	11	8	1	2	208	8	9	8	8	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IId^	-	-	-	-	-	-	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	-	-	-	-	-	1	5	5	wzi100	KL10	K10	Typeable	-	99.02%	-	O3/O3a	O3/O3a	Typeable	-	99.24%	-
24706_1299.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	121	5262840	5262840	5663259	yes (4300)	ambiguous_bases	ST17	2	1	1	1	4	4	4	277	ybt 16; ICEKp12	6	15	5	4	11	33	23	2	11	4	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;aac(6')-Ib-cr.v1^;aadA16*;strA.v1*;strB.v1*	-	-	qnrB6^;qnrS1	-	-	catA1^;catII.2*	arr-3	sul1;sul1;sul2	tet(D)	-	dfrA27	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	9	17	wzi141	KL25	K25	Typeable	!	99.65%	-	O5	O5	Typeable	-	98.23%	-
24707_1393.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	50	5320990	5320990	5391306	yes (2700)	ambiguous_bases	ST711	2	61	2	2	6	4	4	230-1LV	ybt 15; ICEKp11	6	15	22	4	1	37	394*	14	1	4	17	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-187	-	-	-	-	-	catB3.v1?-70%	1	7	11	-	KL54	K54	Typeable	-	99.93%	-	O1/O2v2	O1ab	Typeable	-	99.35%	-
24708_1185.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	76	5156645	5156645	5443578	yes (3100)	ambiguous_bases	ST17	2	1	1	1	4	4	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	strB.v1	-	-	qnrS1	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	strA.v1*?-66%	1	7	7	-	KL62	K62	Typeable	!	99.60%	-	O1/O2v2	O2afg	Typeable	-	99.14%	-
24709_1701.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	66	5302208	5302208	5558478	yes (2800)	ambiguous_bases	ST14	1	6	1	1	1	1	1	183-2LV	ybt 9; ICEKp3	5	11	6	5	1	25*	37	9	78	5	11	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrB1.v2^	-	-	-	-	-	-	-	-	OXA-1	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	catB3.v1?-70%	1	4	5	wzi2	KL2	K2	Typeable	-	99.84%	-	O1/O2v1	O1ab	Typeable	-	100.00%	-
24710_1220.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	105	5324549	5324549	5424698	yes (2500)	ambiguous_bases	ST14	1	6	1	1	1	1	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	-	-	-	-	-	-	SHV-28^	-	-	-	-	-	-	0	2	3	wzi2	KL2	K2	Typeable	-	99.81%	-	O1/O2v1	O1ab	Typeable	-	99.98%	-
24711_1775.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	35	5243277	5243277	5642393	yes (3700)	ambiguous_bases	ST14	1	6	1	1	1	1	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	aac(3)-IIa.v1;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	-	-	-	1	7	9	wzi2	KL2	K2	Typeable	-	99.84%	-	O1/O2v1	O1ab	Typeable	-	99.98%	-
24712_1212.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	47	5159306	5159306	5435132	yes (3800)	ambiguous_bases	ST17	2	1	1	1	4	4	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	0	-	-	strB.v1	-	-	qnrS1	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	strA.v1*?-66%	1	7	7	-	KL62	K62	Typeable	!	99.60%	-	O1/O2v2	O2afg	Typeable	-	99.14%	-
24713_2124.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	75	5359093	5359093	5574677	yes (3700)	ambiguous_bases	ST39	2	1	2	4	9	1	14	294	ybt 16; ICEKp12	6	15	5	4	11	286	304	2	11	4	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IId^	-	-	-	-	-	catII.2*	-	sul2	-	-	dfrA30*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	6	6	wzi2	KL2	K2	Typeable	-	99.83%	-	O1/O2v1	O1ab	Typeable	-	100.00%	-
24714_1218.fasta-ragtag.scaffold	Klebsiella pneumoniae	strong	2564	5245532	5245532	7303980	yes (4400)	total_size,ambiguous_bases	ST17	2	1	1	1	4	4	4	277	ybt 16; ICEKp12	6	15	5	4	11	33	23	2	11	4	2	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	1	-	-	aac(3)-IIa.v1;aac(6')-Ib-cr.v1^;aadA16*;strA.v1*;strB.v1*	-	-	qnrB6^;qnrS1	-	-	catA1^;catII.2*	arr-3	sul1;sul1;sul2	tet(D)	-	dfrA27	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	-	-	-	1	9	17	wzi141	KL25	K25	Typeable	!	99.65%	-	O5	O5	Typeable	-	98.23%	-
